capacity_kwh,soc0_pct,socT_pct,ambient_c,current_a,connector_temp_c,duration_min
87.6,8.6,85.9,27.0,25.6,62.2,720.0
86.6,10.2,87.3,35.3,13.8,73.1,720.0
47.8,70.7,90.3,12.7,19.3,37.2,221.6
67.0,15.5,80.6,21.2,6.9,26.7,720.0
60.1,34.2,96.0,41.6,15.0,66.7,720.0
33.1,26.4,98.1,3.1,17.8,23.9,546.1
39.2,73.9,82.7,26.8,6.3,55.9,206.4
30.4,40.1,87.5,25.8,31.0,44.9,152.7
40.9,10.5,92.0,4.4,20.2,40.6,636.4
96.8,71.3,98.0,1.7,12.2,31.5,720.0
92.9,40.7,84.1,1.3,24.9,29.5,578.2
86.6,40.5,86.3,4.0,7.3,17.4,720.0
88.3,43.1,82.6,15.1,9.3,24.4,720.0
93.9,10.0,85.7,44.7,20.1,70.7,720.0
38.3,74.0,91.8,43.4,10.8,62.8,333.4
68.1,73.8,86.7,24.3,10.4,52.0,409.5
52.6,52.5,85.9,4.7,16.8,33.6,389.6
38.6,43.1,81.3,13.0,19.1,44.1,255.6
34.4,78.8,86.1,3.5,25.1,36.9,66.1
90.0,30.7,94.6,44.4,16.5,73.1,720.0
72.5,63.3,81.4,32.8,17.3,62.0,230.3
77.8,60.9,88.9,22.7,23.7,39.4,366.9
91.7,24.5,82.5,4.5,8.7,26.1,720.0
38.3,76.5,81.4,26.1,22.1,49.1,35.0
99.5,34.6,85.9,36.8,14.4,69.4,720.0
61.3,61.1,98.5,29.1,15.5,54.7,685.5
50.1,40.2,99.8,5.6,31.9,15.7,401.8
95.2,42.7,89.9,42.4,20.4,65.6,720.0
43.8,64.6,94.7,25.4,24.5,56.3,254.1
89.3,76.6,96.5,-1.9,31.2,9.4,388.5
36.3,39.9,88.6,34.7,6.7,61.4,720.0
69.6,68.7,96.3,41.5,13.9,63.3,691.7
71.1,79.1,83.5,-2.6,16.4,27.8,128.7
49.3,16.2,85.7,10.8,10.2,47.4,720.0
70.4,9.0,90.6,-0.1,9.9,20.3,720.0
95.5,32.5,97.1,36.6,7.7,65.0,720.0
52.4,66.0,93.1,7.3,11.0,22.3,638.1
33.1,28.7,83.1,3.8,19.5,15.1,312.6
58.8,34.7,94.2,16.1,6.3,45.7,720.0
31.8,34.2,99.8,18.0,24.3,34.0,354.2
74.0,5.3,81.8,10.7,7.2,41.7,720.0
80.2,38.2,81.5,-2.5,16.4,29.7,720.0
26.7,32.1,96.7,34.4,21.4,71.5,372.4
87.1,34.5,83.9,2.2,18.2,25.9,720.0
76.1,38.8,89.7,43.5,26.5,57.3,504.6
57.9,11.8,83.9,11.9,15.5,41.5,720.0
24.4,69.9,86.5,44.6,29.9,61.7,56.3
37.6,24.5,87.5,36.4,16.0,70.8,517.2
58.6,49.0,96.7,2.0,29.7,32.0,466.3
85.8,53.0,95.5,39.6,28.8,71.4,598.4
27.5,55.7,86.7,-1.2,28.3,7.6,128.7
77.0,78.4,80.4,36.2,15.0,64.0,40.1
25.3,6.8,80.4,15.0,17.3,46.7,327.8
64.4,61.0,91.5,31.6,6.2,49.5,720.0
45.6,5.6,81.9,24.8,8.3,42.3,720.0
83.2,28.4,91.1,44.4,27.1,56.7,720.0
35.7,39.7,88.3,13.8,26.0,40.2,226.6
88.6,66.0,93.1,30.3,28.0,39.2,413.8
81.6,34.9,90.7,18.9,23.2,44.3,662.9
98.2,33.4,87.9,42.0,29.1,88.2,720.0
65.6,16.8,85.0,6.0,29.0,36.2,506.7
40.8,48.8,81.6,30.5,7.8,56.1,566.5
80.5,50.1,84.5,11.1,30.3,46.5,306.4
64.7,46.7,91.3,8.1,8.1,25.2,720.0
25.7,9.3,95.7,2.9,18.7,27.3,457.5
37.7,38.5,85.3,3.7,28.4,32.8,201.5
42.2,71.7,86.3,-1.8,12.1,19.6,235.4
76.5,71.6,97.2,14.8,30.0,42.7,359.8
91.9,45.8,90.0,11.6,6.5,31.6,720.0
36.7,33.5,88.1,10.6,14.2,45.7,466.1
58.3,57.4,82.8,34.6,27.9,65.3,174.4
72.0,21.1,89.2,34.4,29.6,54.4,536.7
87.8,48.8,97.4,7.4,24.9,11.9,713.8
90.6,79.4,92.5,39.8,9.4,78.9,720.0
59.6,33.1,87.8,14.0,16.3,34.2,697.7
37.1,66.3,84.2,10.3,21.8,42.5,114.7
38.9,19.4,85.9,23.3,31.4,66.3,254.1
72.7,30.4,81.5,4.9,18.8,10.9,610.2
62.3,74.9,95.3,8.0,23.6,34.0,310.0
28.7,78.5,99.3,25.3,21.9,45.1,173.4
96.4,63.8,98.9,7.5,12.5,32.8,720.0
74.2,34.5,89.3,-1.9,27.2,33.8,621.4
85.7,15.0,87.0,6.7,9.8,31.2,720.0
52.4,78.9,96.0,44.0,31.0,62.3,185.9
60.6,62.0,96.8,26.9,15.2,63.3,598.0
50.3,80.0,82.2,17.0,28.3,38.2,26.9
38.6,70.0,81.0,29.2,8.6,51.5,143.3
93.7,51.8,80.9,5.7,8.9,28.6,720.0
90.0,10.1,99.6,-3.1,7.4,10.1,720.0
66.8,51.2,97.5,7.5,13.9,33.0,720.0
50.0,30.9,83.4,27.2,15.0,51.5,494.2
46.2,38.4,99.5,39.5,25.0,74.6,459.7
34.0,13.9,96.0,37.6,27.7,76.6,426.1
77.4,57.8,96.6,14.1,8.8,40.7,720.0
27.4,65.9,86.1,18.1,9.0,61.5,248.3
70.0,19.2,88.0,22.1,20.3,42.0,720.0
81.1,25.7,98.3,36.2,30.0,57.2,720.0
24.4,56.9,85.4,1.1,20.8,12.9,131.1
71.5,79.2,98.1,24.1,24.1,56.7,352.7
71.8,48.6,83.4,12.6,14.0,38.3,579.6
30.6,64.5,96.2,35.3,21.8,67.6,239.6
79.1,63.2,86.2,43.6,15.0,58.7,462.7
39.9,11.3,89.8,-1.1,19.2,35.9,660.2
57.8,19.8,84.4,33.0,31.5,64.1,405.7
44.3,17.3,88.7,44.3,18.7,73.3,584.0
32.2,39.8,93.8,35.3,29.5,50.6,219.1
83.8,65.3,85.6,41.0,17.9,67.0,423.7
75.2,57.7,82.6,2.6,25.3,34.2,261.5
84.4,13.6,97.4,36.1,9.4,58.1,720.0
58.2,56.4,87.4,11.5,6.1,42.2,720.0
45.0,63.1,85.1,6.8,13.9,36.1,296.3
76.4,79.4,82.7,3.7,10.7,27.8,155.0
51.2,30.9,89.0,40.9,15.1,51.9,720.0
76.2,12.1,85.5,14.3,6.9,37.8,720.0
34.3,6.7,88.0,35.2,22.3,57.8,413.4
50.6,5.5,99.3,-0.6,10.8,9.6,720.0
88.1,76.2,99.2,31.2,23.8,55.3,503.2
43.9,38.6,89.5,32.8,17.0,67.0,439.7
39.5,31.5,99.1,27.6,26.2,46.6,384.0
53.4,56.1,87.7,39.2,11.0,51.6,593.4
54.1,34.2,92.4,17.6,15.1,53.4,707.3
33.7,53.0,89.5,7.8,25.1,30.3,187.6
59.1,44.2,85.6,19.0,18.9,39.4,406.5
43.2,5.1,85.7,15.1,31.7,53.1,337.7
99.3,55.0,81.8,29.3,17.1,50.9,499.1
57.5,36.0,94.4,42.4,16.9,48.5,720.0
43.6,75.9,93.9,41.3,19.7,64.7,252.8
27.9,76.5,93.9,12.7,23.6,30.8,114.9
85.5,73.1,96.5,-0.9,8.3,20.2,720.0
57.9,67.8,82.4,26.3,14.1,38.7,204.8
41.8,75.6,88.2,12.9,31.5,39.2,84.4
41.5,41.7,92.8,11.5,7.9,26.2,720.0
78.7,7.7,90.5,-2.2,22.5,35.5,720.0
67.0,74.4,99.9,12.1,11.2,36.8,720.0
56.5,68.6,97.7,19.2,21.1,46.7,359.4
33.6,71.1,91.8,32.9,23.2,70.3,168.2
31.3,46.9,82.7,25.8,21.4,52.6,156.5
51.9,21.2,87.4,3.8,28.1,28.4,427.9
31.8,44.8,84.7,14.1,8.1,47.4,493.2
24.5,46.1,98.5,17.0,10.7,42.6,484.2
84.3,35.3,90.0,44.0,6.5,66.6,720.0
36.8,77.4,86.1,23.0,27.0,57.0,61.4
83.5,61.6,98.0,27.3,30.1,51.1,489.5
48.0,12.1,99.7,6.0,10.3,31.4,720.0
60.0,7.7,87.5,3.0,10.0,20.1,720.0
84.6,51.9,97.7,43.3,18.0,70.1,720.0
69.8,6.5,85.8,30.7,7.7,63.7,720.0
59.2,69.2,87.1,29.2,6.4,47.7,720.0
45.4,71.4,87.4,21.6,17.7,33.2,177.6
28.4,61.5,98.4,44.0,31.9,69.6,174.4
80.1,68.3,81.6,-3.0,10.4,20.6,397.7
86.3,31.1,86.4,44.7,21.0,69.5,720.0
44.7,37.7,88.7,-4.3,31.2,12.7,290.9
45.7,35.0,88.1,16.6,26.8,49.1,309.4
86.7,61.3,96.2,5.8,18.9,36.5,715.7
25.1,45.8,94.4,-2.8,23.6,27.0,245.7
27.0,33.0,91.5,-4.3,25.9,19.2,271.0
88.0,20.9,95.3,38.1,23.5,60.3,720.0
52.9,21.0,83.0,13.8,17.6,19.1,543.1
52.4,15.0,89.4,40.7,17.7,48.1,720.0
49.6,33.8,91.5,43.4,17.9,65.0,558.5
45.4,44.7,98.1,0.5,15.7,37.0,673.9
75.9,37.4,87.1,29.5,11.7,66.7,720.0
33.1,52.3,96.6,37.3,10.5,54.9,643.4
90.3,79.1,90.0,35.1,7.3,71.2,720.0
99.5,71.5,89.7,39.9,11.4,75.3,720.0
85.1,37.8,88.1,17.6,24.4,51.8,604.6
40.5,32.7,81.5,15.1,20.1,29.1,335.2
81.4,14.2,97.4,41.8,11.4,70.2,720.0
88.2,13.6,83.9,28.1,27.0,52.0,688.5
32.7,10.0,86.2,6.1,11.3,32.9,719.2
70.5,15.2,92.4,3.1,18.7,26.6,720.0
34.4,59.1,84.3,6.1,7.0,15.9,504.8
73.5,63.9,94.9,42.4,15.3,49.6,655.0
37.0,32.8,95.8,-2.7,14.5,17.5,716.6
32.3,66.3,95.0,44.1,19.6,58.8,225.4
51.4,57.8,99.9,0.2,22.7,30.1,528.3
48.4,68.2,87.0,26.8,21.6,55.7,184.5
69.6,11.2,90.0,40.9,21.1,68.3,720.0
63.8,78.5,92.1,6.1,23.0,23.8,240.1
85.0,29.9,87.5,18.1,11.9,45.3,720.0
48.0,45.8,98.8,24.2,17.5,53.3,588.8
29.2,32.3,94.2,-2.9,25.0,27.8,252.9
78.7,6.3,94.3,12.8,11.1,45.8,720.0
47.3,30.1,94.3,3.9,31.9,29.1,375.4
59.3,35.9,99.6,44.9,17.5,57.6,720.0
34.3,55.5,89.0,30.8,17.1,65.0,252.3
34.5,53.6,86.2,8.8,21.2,33.2,200.0
55.3,10.4,84.8,9.4,21.2,33.9,592.7
89.4,67.2,92.2,15.1,31.4,46.7,317.2
30.6,39.5,86.8,37.4,26.4,55.7,184.1
60.5,25.9,80.8,-0.3,29.7,38.8,417.4
32.8,40.8,99.6,13.8,15.9,50.5,551.9
48.2,18.8,83.4,18.5,10.0,39.1,720.0
88.4,13.1,81.1,9.2,9.6,48.6,720.0
88.4,22.8,86.7,31.9,12.3,51.9,720.0
43.5,44.0,88.5,42.1,22.1,68.3,346.8
91.2,35.7,81.9,14.8,12.2,45.7,720.0
68.7,49.5,94.6,28.7,9.5,44.6,720.0
65.8,53.6,82.8,6.0,19.9,26.0,330.3
97.9,77.8,81.1,35.6,16.6,57.6,76.0
71.8,62.8,94.7,8.1,24.0,25.8,415.1
55.6,38.3,94.6,40.5,18.5,66.1,623.8
60.4,79.7,85.6,34.6,13.2,63.6,155.8
98.3,76.5,91.8,35.5,9.4,60.9,720.0
58.5,74.5,82.3,20.6,11.2,48.2,166.3
42.9,7.0,85.3,26.8,29.2,49.8,336.5
61.1,67.4,99.9,39.2,21.5,60.2,456.3
40.3,31.1,87.5,-0.6,15.4,30.6,592.3
64.8,72.8,88.5,15.2,24.8,33.8,203.0
89.3,31.8,84.9,37.7,9.1,72.5,720.0
27.9,60.8,99.1,17.8,25.1,53.0,191.9
38.6,51.9,90.7,23.1,20.6,48.4,292.3
80.6,46.9,86.6,-3.9,10.6,20.4,720.0
37.9,71.4,91.9,1.9,27.9,27.4,153.8
39.6,8.1,85.7,15.9,25.0,32.8,401.9
68.8,70.2,88.3,43.6,25.9,83.7,298.3
61.6,69.2,83.8,20.2,25.6,48.4,137.5
26.4,45.3,88.8,37.3,15.2,68.6,292.9
33.5,25.0,96.4,36.0,25.0,65.0,343.6
82.6,16.8,84.4,0.5,26.5,27.7,720.0
57.7,51.3,82.0,4.0,19.5,9.7,301.7
44.3,21.8,82.1,38.4,13.5,55.4,594.6
44.1,71.6,87.4,17.9,12.2,62.3,256.9
75.6,30.5,98.9,26.6,16.9,54.8,720.0
75.3,14.6,87.8,-0.8,7.5,15.9,720.0
77.7,13.4,86.5,18.5,11.7,49.9,720.0
73.5,15.9,85.1,-1.8,16.1,23.4,720.0
60.4,41.4,88.8,23.1,15.4,57.9,583.5
54.9,45.8,95.2,30.6,26.8,64.6,383.5
44.6,6.8,84.9,-0.9,8.3,21.3,720.0
40.9,16.3,91.4,6.7,17.4,27.2,652.5
93.0,67.7,93.1,14.5,31.4,35.9,350.9
26.8,41.7,86.4,13.6,12.6,39.3,350.4
75.9,75.9,85.5,40.9,27.6,62.4,137.1
41.2,49.2,97.6,-0.1,16.8,5.0,550.9
59.0,60.5,99.8,35.2,19.2,57.1,602.0
95.8,76.5,97.6,2.2,30.3,24.7,423.9
96.9,48.1,91.1,9.7,23.6,40.2,712.5
42.8,15.4,97.2,21.9,28.5,53.5,484.1
27.6,42.6,82.2,10.2,20.9,46.0,174.5
97.8,11.8,98.3,37.8,25.1,53.2,720.0
74.9,21.4,96.2,9.9,27.0,31.8,720.0
87.1,43.5,80.2,15.6,11.0,43.8,720.0
87.1,22.3,98.3,33.0,30.3,66.8,720.0
58.0,43.3,84.8,42.6,21.4,69.7,350.4
69.9,22.0,85.5,39.8,23.1,63.0,580.6
40.8,59.2,86.2,32.7,24.6,61.0,157.9
42.5,65.1,87.0,34.2,12.3,68.9,328.6
63.7,21.3,98.9,10.1,19.0,36.5,720.0
90.4,17.5,88.1,42.7,23.7,75.7,720.0
54.0,79.4,96.1,21.0,21.1,43.0,269.9
47.5,37.0,88.5,4.2,9.9,31.1,720.0
60.5,12.3,80.8,5.9,6.6,33.6,720.0
32.7,79.4,80.6,36.5,23.0,48.5,7.7
64.1,58.2,99.3,23.6,10.9,69.1,720.0
78.2,27.3,84.1,5.4,16.4,18.4,720.0
60.1,50.9,91.4,30.0,22.8,65.0,457.1
84.1,56.4,98.9,7.0,26.0,40.5,625.7
39.5,29.8,85.5,43.9,6.9,74.5,720.0
80.1,58.6,88.9,26.1,6.5,54.6,720.0
86.7,79.2,81.6,10.3,19.7,42.9,55.4
78.9,74.7,88.9,20.6,8.5,54.3,674.1
81.3,50.1,98.6,29.5,10.1,60.4,720.0
87.4,58.5,91.7,3.8,13.0,28.3,720.0
27.6,8.0,95.6,9.7,23.5,40.7,362.3
59.3,78.5,95.4,3.6,7.3,32.1,720.0
67.9,45.0,96.1,27.5,6.6,57.5,720.0
52.0,70.6,88.7,27.7,20.0,55.8,227.1
57.3,63.4,86.7,2.0,26.4,35.3,204.5
95.3,11.4,85.5,-3.6,19.7,6.1,720.0
26.2,55.5,90.6,15.6,15.7,34.6,236.2
99.5,14.3,90.0,28.6,14.2,45.5,720.0
91.0,38.6,95.3,36.0,16.8,49.0,720.0
36.0,76.3,89.2,31.1,24.2,59.7,102.0
59.4,7.6,97.7,34.1,17.4,59.3,720.0
86.5,53.3,99.8,8.9,10.4,33.2,720.0
49.9,29.4,84.3,43.6,11.3,73.0,720.0
66.9,17.0,92.9,13.8,30.2,55.3,548.1
53.3,14.0,81.9,39.3,26.6,63.8,392.9
94.0,55.0,88.7,22.3,7.2,44.2,720.0
54.3,63.6,82.8,5.8,28.3,32.6,135.7
58.2,44.0,98.5,13.7,29.5,40.5,406.4
56.9,54.4,83.3,40.7,16.1,59.5,315.4
64.2,76.3,85.8,7.8,8.0,38.3,399.7
94.5,66.2,81.7,14.9,9.8,32.6,476.9
69.2,77.3,97.5,37.9,10.0,69.8,720.0
25.4,34.5,97.6,3.5,23.1,19.9,273.0
67.9,78.3,81.1,-3.0,9.5,26.8,88.1
27.9,55.9,88.7,5.8,17.8,53.4,190.4
41.8,43.5,81.2,36.2,28.9,54.2,159.5
95.4,10.6,85.5,34.9,20.4,55.0,720.0
24.7,46.0,83.0,38.7,6.1,51.5,455.1
98.7,71.9,91.6,9.5,10.6,25.5,720.0
34.2,53.6,97.4,32.2,24.9,72.6,314.7
44.8,49.4,98.5,33.6,27.9,42.9,350.9
52.0,28.2,83.0,-2.1,30.2,28.5,337.7
86.7,7.8,89.8,21.6,23.7,44.4,720.0
93.4,15.7,95.8,9.4,22.7,30.4,720.0
82.7,70.3,81.0,19.5,14.8,46.0,190.4
44.8,31.7,80.7,17.5,31.5,42.2,199.6
89.6,13.9,87.5,1.8,27.1,39.5,720.0
57.8,6.4,85.6,8.0,14.1,39.2,720.0
29.0,50.9,98.2,20.1,21.7,49.9,265.9
61.8,38.7,84.2,30.4,16.0,64.5,562.4
27.6,25.2,86.8,18.5,30.1,52.4,177.2
55.4,74.1,80.9,42.9,21.1,67.6,69.6
65.5,62.5,91.9,4.9,13.7,26.9,547.4
37.2,10.1,81.1,36.3,28.0,56.9,269.1
28.2,46.2,89.3,21.1,9.8,60.1,475.2
92.9,40.4,90.4,-3.9,9.1,21.3,720.0
74.4,14.1,87.3,14.3,32.0,39.2,560.9
55.9,67.9,87.2,8.1,29.6,23.8,162.7
81.4,12.7,99.0,39.4,19.7,65.8,720.0
49.9,32.8,91.3,2.1,30.0,13.5,399.3
82.0,30.5,83.6,44.3,27.8,76.4,595.3
68.8,24.6,84.5,38.9,6.5,55.7,720.0
46.7,48.6,96.9,5.2,9.1,34.1,720.0
81.2,13.8,86.3,12.2,27.7,41.1,720.0
54.6,49.0,94.4,30.1,8.0,46.9,720.0
72.0,25.5,96.9,3.7,17.5,29.7,720.0
68.7,74.7,80.6,38.3,9.2,64.4,139.9
64.0,72.8,96.6,42.2,7.7,52.0,720.0
83.4,60.9,84.6,30.9,31.3,49.7,224.9
34.6,68.0,87.7,38.3,14.8,57.7,196.0
27.1,36.1,89.8,3.0,22.4,26.7,262.3
27.8,51.4,97.4,44.1,20.2,62.2,248.7
59.3,30.9,92.2,31.5,19.3,51.6,632.0
35.7,78.8,90.7,13.3,29.9,43.3,85.9
79.6,42.5,91.2,32.9,26.9,76.5,699.5
51.1,37.4,93.3,15.8,12.8,46.5,720.0
57.1,64.3,89.8,6.5,24.3,30.0,270.9
34.7,58.8,87.3,26.1,19.8,49.7,178.3
58.2,52.6,95.9,15.7,26.5,44.8,361.0
89.3,10.3,82.8,21.5,31.5,61.8,720.0
70.4,74.5,85.9,-0.1,18.1,33.9,243.5
26.4,35.8,89.9,29.2,26.6,63.3,189.7
68.8,28.7,88.6,4.9,26.2,28.9,532.6
83.6,11.1,88.4,15.9,10.6,50.9,720.0
69.4,32.2,98.7,4.1,18.2,21.1,720.0
51.3,75.4,87.2,15.8,31.7,39.5,97.5
78.5,11.1,84.0,43.7,6.6,63.6,720.0
98.7,64.1,81.0,11.7,24.8,19.1,217.9
59.6,26.9,86.9,35.2,6.9,61.5,720.0
28.5,48.6,84.5,-2.5,13.3,32.0,319.3
85.9,14.2,86.1,36.5,25.5,63.8,720.0
73.4,35.3,97.3,28.5,19.3,47.6,720.0
73.8,74.6,95.8,9.8,6.3,20.8,720.0
46.9,6.1,85.1,14.4,22.9,41.1,457.9
63.6,46.2,85.8,9.8,7.5,23.5,720.0
71.7,71.1,92.5,9.2,25.9,31.6,307.6
92.6,46.6,97.2,39.4,14.5,57.6,720.0
47.1,20.2,95.4,29.6,20.9,43.6,536.4
35.3,8.0,94.2,14.5,13.9,39.7,720.0
31.0,39.1,85.8,11.8,15.0,37.8,344.2
27.5,10.8,81.9,44.2,14.0,77.4,554.4
39.2,25.0,90.7,28.7,8.2,64.0,720.0
55.8,8.6,89.4,11.2,27.9,37.5,546.1
42.4,60.9,86.1,3.5,23.2,37.0,177.8
86.2,25.1,98.4,16.5,30.9,35.5,717.3
38.5,63.3,85.6,38.5,17.7,84.3,247.8
50.1,38.1,80.8,35.1,11.7,74.4,650.5
91.2,24.1,91.0,19.4,21.3,41.4,720.0
85.6,33.6,82.3,15.9,19.0,34.9,596.8
50.0,9.0,91.9,27.8,30.6,64.8,444.2
78.3,56.2,96.5,23.2,13.1,43.5,720.0
41.8,64.3,85.7,11.5,12.2,37.7,297.0
96.3,20.4,97.1,10.3,26.8,40.7,720.0
97.6,59.1,88.6,29.5,9.9,53.2,720.0
57.8,79.2,83.1,22.6,6.6,40.4,205.4
24.9,19.2,86.5,17.6,13.2,50.2,398.7
92.7,30.4,80.6,27.6,18.0,54.1,680.3
25.0,30.6,95.9,-0.8,15.9,26.1,432.6
34.6,33.3,96.8,7.0,15.3,40.4,568.5
89.5,61.7,88.5,10.2,24.7,48.2,409.6
93.2,15.6,85.7,-3.2,7.0,16.9,720.0
89.2,40.1,83.3,-3.0,7.3,17.1,720.0
43.7,10.2,84.6,1.8,26.8,37.2,375.5
97.5,77.0,89.2,23.8,27.7,46.4,250.2
